137,9,2,"{-0.53535444349931470,0.14810828487912256,0.21389686248989281,-1.79654166160347170,-0.27799133100470064,0.07444747762442576}","{-0.22162235959213797,-0.08272023258921081,0.04762448170517962,11.59063510338204000}",2026-01-05 12:03:02.585624 +00:00
138,9,3,"{-1.27954991047643850,0.21857507670171417,0.34333109354197270,-2.19021976863112040,0.65549200148287000,0.61895018872600250}","{-0.14999288342539770,0.06312245456004854,0.23769241550457704,11.78765279718571400}",2026-01-05 12:03:02.585624 +00:00
139,9,4,"{-2.07633914650582870,0.59465794500404350,0.70138528994238040,-2.07829399581204080,1.35923765013675140,1.29919729199046730}","{0.10883002526911494,0.0017626747569849724,0.17162381974776810,9.91092317363658100}",2026-01-05 12:03:02.585624 +00:00
140,9,5,"{-2.83823124777704500,1.02839690905577870,1.18936493288354380,-2.00327083242661700,0.96436394299754570,1.31497936662290860}","{-0.14964862433537054,0.41704629982216460,0.15483788687520800,11.10688158286822400}",2026-01-05 12:03:02.585624 +00:00
141,9,6,"{-3.29760075092601660,1.55025755311197000,1.69641710227762400,-0.45763722015715863,1.83131807873205090,1.40137154084537900}","{-0.20618371686476508,0.08882746245037020,-0.07031077289832234,9.58998580873784300}",2026-01-05 12:03:02.585624 +00:00
142,9,7,"{-3.40095226315765630,2.36635625135803450,2.18752882995389750,-0.09603159536948343,2.54063923330043800,1.22958414313465770}","{0.13309800263646188,-0.18121271548789230,0.14469303300196315,11.98042726449504300}",2026-01-05 12:03:02.585624 +00:00
143,9,8,"{-3.56840755107937020,3.18371935069466530,2.77689406478443330,-0.80105030421112630,1.83809165600293990,1.92772961488606960}","{0.19078730912853603,0.77310996249911520,-0.13579296834419102,11.48923096930767900}",2026-01-05 12:03:02.585624 +00:00
144,9,9,"{-3.34406002686010800,3.64518154446687070,3.37560807751688100,2.00291204110003100,0.63402723920530400,1.27966688189490040}","{-0.14825804654236066,0.54394929285965430,-0.26007495995251860,10.51494883660951500}",2026-01-05 12:03:02.585624 +00:00
145,9,10,"{-2.20601942856689530,3.89003806727923100,3.78983874782437700,4.09373402118503900,0.67770413300377030,0.93942599475239910}","{0.014407160543439032,-0.20195633383593603,-0.10878842734471818,11.81434567374064000}",2026-01-05 12:03:02.585624 +00:00
146,9,11,"{-0.84313499916217500,4.14918527327000900,4.26342140051464200,3.20743256491167730,0.71058447051825800,1.59762393037402270}","{0.0071147641847381544,0.07958834317013634,0.036454974301016387,11.21716986785547800}",2026-01-05 12:03:02.585624 +00:00
147,9,12,"{0.41661584241200633,4.41117728678834900,4.95543755545104300,3.54123265780715220,0.69294417332998990,2.10960547107098460}","{0.26155118492420410,0.19630531955277536,-0.20942198423613162,9.09965719174688000}",2026-01-05 12:03:02.585624 +00:00
148,9,13,"{1.82145706096954680,4.48464283230064500,5.66018812297116700,3.98470244160824370,-0.29937875094269034,1.66584399778682250}","{-0.23404113175655097,-0.32825263873170130,0.13622749020339860,7.26743949120826900}",2026-01-05 12:03:02.585624 +00:00
149,9,14,"{3.13577395467868050,4.46767028497818700,6.06480334371959600,3.05628091754783000,0.20845439028666304,0.50173754193690710}","{-0.20963555958888270,-0.62539453907561440,0.18113334216344495,8.14703192033378400}",2026-01-05 12:03:02.585624 +00:00
150,9,15,"{3.93572125485835220,4.60314795200802300,6.01869265318603800,1.22915104770041150,0.51731882594460570,-0.74875909836667990}","{0.16830398432575255,-0.22668387337957904,-0.22599304643694976,11.54377998010039000}",2026-01-05 12:03:02.585624 +00:00
151,12,1,"{0.00000000000000000,-0.20000000000000000,0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{0.08989470019674950,-0.16525531239655030,0.14524342800230466,11.98140590252715200}",2026-01-05 12:03:02.602725 +00:00
152,12,2,"{-0.12451217016635656,-0.29396888654912530,0.33662202425753013,-0.66702948303405300,-0.50340474937031400,0.73190370137962580}","{-0.04686961339358979,-0.51296336562389320,-0.19286464048266690,10.87920144608363800}",2026-01-05 12:03:02.602725 +00:00
153,12,3,"{-0.73150379817278280,-0.37580581081596430,0.58607244973532320,-2.58471138128608800,0.06499265508367617,0.60443786367998040}","{-0.07362022187361592,0.31372164908597570,0.12173981815320685,11.24327131071187400}",2026-01-05 12:03:02.602725 +00:00
154,12,4,"{-1.46410287415627780,-0.26505250279115790,0.87135068703368020,-1.33992652576835060,0.52832863790635840,0.92383840756121840}","{-0.15024610570755630,0.24607967574307119,-0.019587064649538192,10.53334923107942900}",2026-01-05 12:03:02.602725 +00:00
155,12,5,"{-1.78541952634986300,0.03858104393074246,1.23652562736138830,-0.38141268241156934,1.09827964810382220,1.03245591562293160}","{-0.17878056541593765,-0.14659638702409908,-0.01996220343358316,11.98728094785980100}",2026-01-05 12:03:02.602725 +00:00
156,12,6,"{-2.04490501004027600,0.59952819559021990,1.75157573965794740,-1.00868812307278840,1.90679437864337920,1.72674111453720670}","{0.011501121791083806,0.29415395492590074,-0.11006421888645830,11.31518889097278400}",2026-01-05 12:03:02.602725 +00:00
157,12,7,"{-2.19525402173188300,1.27727332772707400,2.46720111439004800,0.20324698901060784,1.72398311494691180,2.10696625009904450}","{-0.19010821123276964,0.48565400106893770,-0.20479947385783617,11.15474273327786200}",2026-01-05 12:03:02.602725 +00:00
